GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04
Id,Id2,Geography,Estimate; Median age -- - Total:,Margin of Error; Median age -- - Total:,Estimate; Median age -- - Male,Margin of Error; Median age -- - Male,Estimate; Median age -- - Female,Margin of Error; Median age -- - Female
1400000US24009861004,24009861004,"Census Tract 8610.04, Calvert County, Maryland",30.3,2.7,32.9,3.0,27.9,2.9
1400000US24009990100,24009990100,"Census Tract 9901, Calvert County, Maryland",-,**,-,**,-,**
1400000US24011955000,24011955000,"Census Tract 9550, Caroline County, Maryland",33.9,5.6,33.2,4.3,35.8,6.8
1400000US24011955100,24011955100,"Census Tract 9551, Caroline County, Maryland",38.8,3.4,38.7,5.0,38.9,5.3
1400000US24011955201,24011955201,"Census Tract 9552.01, Caroline County, Maryland",39.8,2.4,42.4,4.0,37.5,4.7
1400000US24011955202,24011955202,"Census Tract 9552.02, Caroline County, Maryland",39.1,8.1,34.8,14.1,41.4,7.8
1400000US24011955301,24011955301,"Census Tract 9553.01, Caroline County, Maryland",39.6,3.5,35.8,5.8,41.1,3.4
1400000US24011955302,24011955302,"Census Tract 9553.02, Caroline County, Maryland",36.3,3.2,33.0,4.0,40.0,6.9
1400000US24011955400,24011955400,"Census Tract 9554, Caroline County, Maryland",46.6,3.2,45.1,5.6,47.1,3.0
1400000US24011955500,24011955500,"Census Tract 9555, Caroline County, Maryland",40.2,3.3,41.2,4.9,39.6,4.0
1400000US24011955600,24011955600,"Census Tract 9556, Caroline County, Maryland",40.4,2.7,38.5,4.5,40.9,3.2
1400000US24013501001,24013501001,"Census Tract 5010.01, Carroll County, Maryland",33.5,4.8,33.3,8.2,33.5,4.8
1400000US24013501002,24013501002,"Census Tract 5010.02, Carroll County, Maryland",44.7,4.6,45.5,6.4,44.5,4.4
1400000US24013502000,24013502000,"Census Tract 5020, Carroll County, Maryland",44.7,3.5,44.8,4.0,44.5,4.9
1400000US24013503000,24013503000,"Census Tract 5030, Carroll County, Maryland",45.9,1.8,46.3,1.6,44.9,3.4
1400000US24013504100,24013504100,"Census Tract 5041, Carroll County, Maryland",44.2,1.7,44.1,2.2,44.6,3.2
1400000US24013504201,24013504201,"Census Tract 5042.01, Carroll County, Maryland",45.1,2.3,43.2,2.1,47.2,4.0
1400000US24013504202,24013504202,"Census Tract 5042.02, Carroll County, Maryland",46.9,1.9,45.9,4.6,47.0,2.0
1400000US24013505101,24013505101,"Census Tract 5051.01, Carroll County, Maryland",38.9,2.9,38.8,2.7,39.8,4.4
1400000US24013505102,24013505102,"Census Tract 5051.02, Carroll County, Maryland",43.9,2.7,40.8,1.2,47.2,5.4
1400000US24013505203,24013505203,"Census Tract 5052.03, Carroll County, Maryland",40.5,2.1,41.7,1.9,38.7,2.8
1400000US24013505205,24013505205,"Census Tract 5052.05, Carroll County, Maryland",33.7,3.5,33.0,3.3,36.3,5.9
1400000US24013505206,24013505206,"Census Tract 5052.06, Carroll County, Maryland",45.8,0.9,44.3,3.8,46.4,1.4
1400000US24013505207,24013505207,"Census Tract 5052.07, Carroll County, Maryland",39.3,2.2,40.6,1.8,36.9,4.7
1400000US24013505208,24013505208,"Census Tract 5052.08, Carroll County, Maryland",40.7,2.3,39.1,4.3,42.5,3.0
1400000US24013506101,24013506101,"Census Tract 5061.01, Carroll County, Maryland",40.1,3.1,38.5,3.1,42.0,3.2
1400000US24013506102,24013506102,"Census Tract 5061.02, Carroll County, Maryland",40.6,4.3,37.2,4.4,42.9,4.4
1400000US24013506200,24013506200,"Census Tract 5062, Carroll County, Maryland",47.3,3.8,47.3,6.7,47.4,3.7
1400000US24013507500,24013507500,"Census Tract 5075, Carroll County, Maryland",22.3,2.2,22.4,3.0,22.0,4.2
1400000US24013507601,24013507601,"Census Tract 5076.01, Carroll County, Maryland",34.3,3.7,34.1,6.4,35.0,6.0
