State,StateAbbreviation,County,Party,Candidate,Votes,FractionVotes
Iowa,IA,Adair,Republican,Ted Cruz,104.0,0.2567901234567901
Iowa,IA,Adair,Republican,Marco Rubio,80.0,0.19753086419753085
Iowa,IA,Adair,Republican,Ben Carson,61.0,0.1506172839506173
Iowa,IA,Adair,Republican,Carly Fiorina,16.0,0.03950617283950617
Iowa,IA,Adair,Republican,Rand Paul,12.0,0.02962962962962963
Iowa,IA,Adair,Republican,Mike Huckabee,11.0,0.02716049382716049
Iowa,IA,Adair,Republican,Rick Santorum,7.0,0.01728395061728395
Iowa,IA,Adair,Republican,Chris Christie,4.0,0.009876543209876543
Iowa,IA,Adair,Republican,Jeb Bush,4.0,0.009876543209876543
Iowa,IA,Adair,Republican,John Kasich,2.0,0.0049382716049382715
Iowa,IA,Adams,Republican,Ted Cruz,81.0,0.2977941176470588
Iowa,IA,Adams,Republican,Donald Trump,68.0,0.25
Iowa,IA,Adams,Republican,Marco Rubio,47.0,0.17279411764705882
Iowa,IA,Adams,Republican,Ben Carson,30.0,0.11029411764705882
Iowa,IA,Adams,Republican,Carly Fiorina,16.0,0.05882352941176471
Iowa,IA,Adams,Republican,John Kasich,10.0,0.036764705882352935
Iowa,IA,Adams,Republican,Rand Paul,8.0,0.029411764705882356
Iowa,IA,Adams,Republican,Jeb Bush,7.0,0.025735294117647058
Iowa,IA,Adams,Republican,Mike Huckabee,3.0,0.011029411764705885
Iowa,IA,Adams,Republican,Chris Christie,1.0,0.0036764705882352936
Iowa,IA,Adams,Republican,Rick Santorum,1.0,0.0036764705882352936
Iowa,IA,Allamakee,Republican,Donald Trump,193.0,0.2813411078717201
Iowa,IA,Allamakee,Republican,Ted Cruz,183.0,0.2667638483965015
Iowa,IA,Allamakee,Republican,Marco Rubio,131.0,0.19096209912536444
Iowa,IA,Allamakee,Republican,Ben Carson,77.0,0.11224489795918367
Iowa,IA,Allamakee,Republican,Carly Fiorina,54.0,0.07871720116618076
Iowa,IA,Allamakee,Republican,Rand Paul,16.0,0.023323615160349854
Iowa,IA,Allamakee,Republican,Jeb Bush,11.0,0.016034985422740525
Iowa,IA,Allamakee,Republican,Mike Huckabee,9.0,0.013119533527696792
Iowa,IA,Allamakee,Republican,Rick Santorum,6.0,0.008746355685131196
Iowa,IA,Allamakee,Republican,Chris Christie,4.0,0.005830903790087464
Iowa,IA,Allamakee,Republican,John Kasich,2.0,0.002915451895043732
Iowa,IA,Appanoose,Republican,Donald Trump,292.0,0.34803337306317045
Iowa,IA,Appanoose,Republican,Ted Cruz,269.0,0.3206197854588796
